time,tx_pkts,rx_pkts
1657846108.1626563,58077761,12211275
1657846109.1640563,116160898,12211275
1657846110.1654475,174243603,12211275
1657846111.1668506,232326788,12211275
1657846112.1682425,290409519,12211275
1657846113.1696398,348492400,12211275
1657846114.1710289,406575221,12211275
1657846115.172419,464657516,12211275
1657846116.1738048,522739990,12211275
1657846117.175202,580822643,12211275
1657846118.1766372,638908190,12211275
1657846119.1780207,696990446,12211275
1657846120.1794307,755073553,12211275
1657846121.1808295,813156971,12211275
1657846122.1813717,871190434,12211275
1657846123.18282,929275228,12211275
1657846124.1833954,987311886,12211275
1657846125.1847699,1045394092,22555744
1657846126.1861436,1103475276,67100674
1657846127.187511,1161556990,111645373
1657846128.1889184,1219639573,156191798
1657846129.1903017,1277722010,200737111
1657846130.1917145,1335806216,245283819
1657846131.1931105,1393888825,287003732
1657846132.1945047,1451971852,287003732
1657846133.1959014,1510055037,287003732
1657846134.1972492,1568136021,287003732
1657846135.1985986,1626215324,287003732
1657846136.1999805,1684298005,287003732
1657846137.2013319,1742377817,287003732
1657846138.2027268,1800460714,287003732
1657846139.2042058,1858545567,287003732
1657846140.205705,1916636670,287003732
1657846141.2071106,1974720506,287003732
1657846142.2085004,2032803236,287003732
1657846143.2098966,2090885794,326794094
1657846144.2105682,2148926175,384835002
1657846145.2120845,2207014711,442924805
1657846146.2135036,2265101135,501009292
1657846147.214893,2323183450,559091734
1657846148.2163124,2381267580,617175976
1657846149.2177489,2439353110,675261272
1657846150.2191606,2497435942,733344992
1657846151.2206047,2555522731,791430807
1657846152.2219906,2613605233,849513216
1657846153.2233713,2671687375,907595295
1657846154.2247605,2729769772,965677786
1657846155.2261465,2787852052,1023760140
1657846156.2275636,2845935414,1081844302
1657846157.2289662,2904019322,1139927575
1657846158.2303755,2962103040,1198011241
1657846159.2317722,3020186179,1256094269
1657846160.2331688,3078269247,1314177193
1657846161.2345648,3136352146,1372260158
1657846162.235941,3194434030,1430341889
1657846163.2373319,3252516536,1488424532
1657846164.2387118,3310598658,1546506536
1657846165.2401423,3368683314,1604591399
1657846166.2415273,3426765355,1662673601
1657846167.2429512,3484849143,1720757964
1657846168.2437053,3542896144,1778804035
1657846169.245078,3600977638,1836885552
1657846170.2464724,3659060259,1894968387
1657846171.2470028,3717092209,1953001024
1657846172.2483869,3775175313,2011083283
1657846173.2497795,3833257990,2069166056
1657846174.2511747,3891340723,2127248902
1657846175.2525887,3949424790,2185332906
1657846176.2530441,4007453051,2243361253
1657846177.2543857,4065534280,2301441263
1657846178.2557514,4123614172,2359522195
1657846179.257107,4181695813,2417602973
1657846180.2584665,4239775366,2475683568
1657846181.2599547,4297860583,2533771408
1657846182.2614377,4355951698,2591859775
1657846183.2628407,4414034860,2649943154
1657846184.2642713,4472119319,2708028015
1657846185.2656739,4530203334,2766111391
1657846186.2670603,4588285522,2824193777
1657846187.268443,4646367961,2882275938
1657846188.2698543,4704451437,2940359718
1657846189.2709866,4762519068,2998427227
1657846190.2723942,4820602464,3055355449
1657846191.273839,4878688585,3099903559
1657846192.2752323,4936771426,3144449333
1657846193.2766118,4994853365,3188994562
1657846194.2780073,5052936062,3233540529
1657846195.279408,5111019394,3278086640
1657846196.2807994,5169102059,3297750198
1657846197.2821743,5227183958,3297750198
1657846198.283566,5285266236,3297750198
1657846199.2849631,5343349417,3297750198
1657846200.2863395,5401431354,3297750198
1657846201.2877207,5459513463,3297750198
1657846202.289101,5517595196,3297750198
1657846203.2904828,5575677690,3297750198
1657846204.2918563,5633758870,3297750198
1657846205.293256,5691842287,3297750198
1657846206.2946372,5749924312,3297750198
1657846207.29605,5808007948,3297750201
1657846208.2974544,5866091509,3297750201
1657846209.2988665,5924175031,3297750201
1657846210.300269,5982258735,3297750201
1657846211.301671,6040341414,3297750201
1657846212.3030746,6098425448,3297750201
1657846213.3044755,6156507794,3297750201
1657846214.3058639,6214591368,3297750201
1657846215.3072095,6272670845,3297750201
1657846216.3085225,6330749797,3297750201
1657846217.3098512,6388828611,3297750201
1657846218.3111982,6446908793,3297750201
1657846219.312527,6504987655,3297750201
1657846220.3139176,6563068973,3297750201
1657846221.3152523,6621149927,3297750201
1657846222.3165667,6679228122,3297750201
1657846223.3178751,6737306059,3297750201
1657846224.3191864,6795384044,3297750201
1657846225.3205156,6853462746,3297750201
1657846226.3218281,6911541128,3297750201
1657846227.3229117,6960000000,3297750201
